y_pred,y_eval,residuals
2291.505443922616,2282.0,9.505443922615996
2296.6333493300544,2285.0,11.633349330054443
2331.345821096694,2322.0,9.34582109669418
2291.505443922616,2284.0,7.505443922615996
2331.345821096694,2329.0,2.3458210966941806
2331.345821096694,2332.0,-0.6541789033058194
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2333.0,-1.6541789033058194
2331.345821096694,2330.0,1.3458210966941806
2355.541647397785,2339.0,16.5416473977848
2355.541647397785,2337.0,18.5416473977848
2355.541647397785,2340.0,15.5416473977848
2331.345821096694,2330.0,1.3458210966941806
2355.541647397785,2341.0,14.5416473977848
2331.345821096694,2327.0,4.345821096694181
2331.345821096694,2329.0,2.3458210966941806
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2333.0,-1.6541789033058194
2331.345821096694,2339.0,-7.654178903305819
2331.345821096694,2336.0,-4.654178903305819
2355.541647397785,2346.0,9.5416473977848
2355.541647397785,2347.0,8.5416473977848
2355.541647397785,2346.0,9.5416473977848
2355.541647397785,2348.0,7.5416473977848
2300.6957366025354,2307.0,-6.304263397464638
2331.345821096694,2316.0,15.34582109669418
2331.345821096694,2320.0,11.34582109669418
2331.345821096694,2328.0,3.3458210966941806
2331.345821096694,2339.0,-7.654178903305819
2331.345821096694,2338.0,-6.654178903305819
2300.6957366025354,2305.0,-4.304263397464638
2331.345821096694,2312.0,19.34582109669418
2331.345821096694,2323.0,8.34582109669418
2331.345821096694,2320.0,11.34582109669418
2331.345821096694,2334.0,-2.6541789033058194
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2332.0,-0.6541789033058194
2355.541647397785,2337.0,18.5416473977848
2355.541647397785,2335.0,20.5416473977848
2355.541647397785,2337.0,18.5416473977848
2355.541647397785,2338.0,17.5416473977848
2355.541647397785,2338.0,17.5416473977848
2331.345821096694,2324.0,7.345821096694181
2331.345821096694,2336.0,-4.654178903305819
2331.345821096694,2333.0,-1.6541789033058194
2331.345821096694,2334.0,-2.6541789033058194
2331.345821096694,2332.0,-0.6541789033058194
2331.345821096694,2336.0,-4.654178903305819
2355.541647397785,2339.0,16.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2344.0,11.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2341.0,14.5416473977848
2355.541647397785,2339.0,16.5416473977848
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2341.0,-9.65417890330582
2331.345821096694,2343.0,-11.65417890330582
2331.345821096694,2341.0,-9.65417890330582
2355.541647397785,2347.0,8.5416473977848
2355.541647397785,2348.0,7.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2344.0,11.5416473977848
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2324.0,7.345821096694181
2355.541647397785,2340.0,15.5416473977848
2355.541647397785,2340.0,15.5416473977848
2331.345821096694,2339.0,-7.654178903305819
2331.345821096694,2337.0,-5.654178903305819
2331.345821096694,2337.0,-5.654178903305819
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2336.0,-4.654178903305819
2331.345821096694,2337.0,-5.654178903305819
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2331.0,0.3458210966941806
2331.345821096694,2339.0,-7.654178903305819
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2339.0,-7.654178903305819
2300.6957366025354,2302.0,-1.3042633974646378
2331.345821096694,2326.0,5.345821096694181
2331.345821096694,2328.0,3.3458210966941806
2331.345821096694,2330.0,1.3458210966941806
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2338.0,17.5416473977848
2331.345821096694,2337.0,-5.654178903305819
2331.345821096694,2338.0,-6.654178903305819
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2331.0,0.3458210966941806
2331.345821096694,2328.0,3.3458210966941806
2331.345821096694,2325.0,6.345821096694181
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2328.0,3.3458210966941806
2331.345821096694,2346.0,-14.65417890330582
2331.345821096694,2344.0,-12.65417890330582
2331.345821096694,2343.0,-11.65417890330582
2331.345821096694,2340.0,-8.65417890330582
2300.6957366025354,2305.0,-4.304263397464638
2331.345821096694,2338.0,-6.654178903305819
2331.345821096694,2337.0,-5.654178903305819
2331.345821096694,2338.0,-6.654178903305819
2355.541647397785,2346.0,9.5416473977848
2355.541647397785,2345.0,10.5416473977848
2331.345821096694,2328.0,3.3458210966941806
2331.345821096694,2332.0,-0.6541789033058194
2331.345821096694,2329.0,2.3458210966941806
2331.345821096694,2326.0,5.345821096694181
2331.345821096694,2327.0,4.345821096694181
2331.345821096694,2329.0,2.3458210966941806
2331.345821096694,2329.0,2.3458210966941806
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2341.0,-9.65417890330582
2300.6957366025354,2310.0,-9.304263397464638
2331.345821096694,2324.0,7.345821096694181
2331.345821096694,2339.0,-7.654178903305819
2355.541647397785,2341.0,14.5416473977848
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2331.0,0.3458210966941806
2331.345821096694,2317.0,14.34582109669418
2331.345821096694,2329.0,2.3458210966941806
2355.541647397785,2339.0,16.5416473977848
2355.541647397785,2341.0,14.5416473977848
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2335.0,-3.6541789033058194
2331.345821096694,2336.0,-4.654178903305819
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2341.0,14.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2340.0,15.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2341.0,14.5416473977848
2331.345821096694,2330.0,1.3458210966941806
2331.345821096694,2335.0,-3.6541789033058194
2355.541647397785,2338.0,17.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2339.0,16.5416473977848
2331.345821096694,2331.0,0.3458210966941806
2331.345821096694,2331.0,0.3458210966941806
2331.345821096694,2340.0,-8.65417890330582
2331.345821096694,2339.0,-7.654178903305819
2355.541647397785,2339.0,16.5416473977848
2355.541647397785,2337.0,18.5416473977848
2355.541647397785,2340.0,15.5416473977848
2355.541647397785,2341.0,14.5416473977848
2355.541647397785,2341.0,14.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2346.0,9.5416473977848
2331.345821096694,2335.0,-3.6541789033058194
2355.541647397785,2337.0,18.5416473977848
2355.541647397785,2335.0,20.5416473977848
2355.541647397785,2342.0,13.5416473977848
2355.541647397785,2343.0,12.5416473977848
2355.541647397785,2345.0,10.5416473977848
2374.648682914741,2374.7,-0.051317085258688167
2374.648682914741,2373.2,1.4486829147413118
2374.648682914741,2376.3,-1.651317085259052
2374.648682914741,2376.3,-1.651317085259052
2361.1846104396236,2358.3,2.8846104396234296
2374.648682914741,2370.3,4.348682914740948
2374.648682914741,2374.4,0.24868291474103899
2374.648682914741,2375.0,-0.35131708525887007
2374.648682914741,2369.8,4.848682914740948
2374.648682914741,2366.7,7.948682914741312
2361.1846104396236,2360.9,0.2846104396235205
2374.648682914741,2373.1,1.5486829147412209
2374.648682914741,2372.5,2.14868291474113
2361.1846104396236,2360.2,0.9846104396237934
2361.1846104396236,2353.1,8.084610439623702
2361.1846104396236,2361.4,-0.2153895603764795
2361.1846104396236,2357.6,3.5846104396237024
2361.1846104396236,2354.4,6.7846104396235205
2361.1846104396236,2353.9,7.2846104396235205
2361.1846104396236,2356.9,4.2846104396235205
2361.1846104396236,2355.8,5.38461043962343
2361.1846104396236,2360.5,0.6846104396236115
2361.1846104396236,2351.5,9.684610439623611
2361.1846104396236,2354.3,6.88461043962343
2361.1846104396236,2355.2,5.984610439623793
2361.1846104396236,2351.3,9.88461043962343
2355.541647397785,2349.8,5.741647397784618
2361.1846104396236,2348.7,12.484610439623793
2361.1846104396236,2350.4,10.78461043962352
2361.1846104396236,2355.0,6.1846104396236115
2355.541647397785,2348.3,7.241647397784618
2355.541647397785,2345.8,9.741647397784618
2355.541647397785,2352.7,2.841647397784982
2355.541647397785,2352.5,3.0416473977848
2355.541647397785,2347.9,7.641647397784709
2355.541647397785,2345.6,9.941647397784891
2355.541647397785,2346.8,8.741647397784618
2355.541647397785,2340.6,14.941647397784891
2355.541647397785,2345.4,10.141647397784709
2355.541647397785,2342.2,13.341647397784982
2355.541647397785,2339.6,15.941647397784891
2355.541647397785,2340.0,15.5416473977848
2355.541647397785,2342.3,13.241647397784618
2355.541647397785,2343.3,12.241647397784618
2361.1846104396236,2356.0,5.1846104396236115
2297.7296705184463,2283.8,13.929670518446073
2294.640829884936,2277.3,17.34082988493583
2294.640829884936,2275.7,18.940829884936193
2294.640829884936,2275.7,18.940829884936193
2244.2943347013997,2233.9,10.394334701399657
2250.1017890063254,2251.0,-0.8982109936746383
2289.805948836934,2305.2,-15.394051163065797
2289.805948836934,2299.0,-9.194051163065978
2298.9962415168534,2320.4,-21.403758483146703
2298.9962415168534,2319.6,-20.60375848314652
2299.1806887584253,2307.0,-7.819311241574724
2299.1806887584253,2302.2,-3.019311241574542
2299.1806887584253,2303.2,-4.019311241574542
2283.8681520014084,2291.9,-8.03184799859173
2283.8681520014084,2275.9,7.968152001408271
2282.1686569157264,2247.9,34.2686569157263
2282.1686569157264,2280.8,1.3686569157262056
2283.8681520014084,2239.2,44.668152001408544
2279.7850204959673,2218.5,61.285020495967274
2242.4644970851177,2227.0,15.464497085117728
2258.062114126636,2223.5,34.56211412663606
2269.275791606379,2244.0,25.27579160637879
2282.1686569157264,2277.6,4.5686569157264785
2282.1686569157264,2272.5,9.668656915726388
2299.1806887584253,2286.1,13.080688758425367
2299.1806887584253,2299.9,-0.7193112415748146
2327.657192823674,2319.7,7.957192823674177
2327.657192823674,2321.5,6.157192823673995
2327.657192823674,2295.3,32.35719282367381
2327.657192823674,2318.9,8.757192823673904
2327.657192823674,2324.1,3.557192823674086
2299.1806887584253,2321.8,-22.619311241574906
2299.1806887584253,2323.6,-24.419311241574633
2299.1806887584253,2312.7,-13.519311241574542
2299.1806887584253,2326.1,-26.919311241574633
2327.657192823674,2326.5,1.157192823673995
2351.8530191247646,2350.7,1.1530191247647963
2327.657192823674,2345.4,-17.742807176326096
2351.8530191247646,2358.8,-6.9469808752355675
2370.960054641721,2397.3,-26.339945358279238
2370.960054641721,2409.6,-38.639945358278965
2410.665296433026,2410.5,0.1652964330260147
2410.665296433026,2411.9,-1.2347035669740762
2410.665296433026,2410.1,0.5652964330261057
2410.665296433026,2418.9,-8.234703566974076
2370.960054641721,2409.4,-38.43994535827915
2410.665296433026,2407.4,3.2652964330259238
2370.960054641721,2400.6,-29.639945358278965
2370.960054641721,2407.4,-36.43994535827915
2370.960054641721,2405.8,-34.83994535827924
2370.960054641721,2386.8,-15.839945358279238
2370.960054641721,2401.1,-30.139945358278965
2370.960054641721,2385.7,-14.739945358278874
2357.4959821666034,2366.8,-9.304017833396756
2370.960054641721,2389.1,-18.139945358278965
2357.4959821666034,2370.6,-13.104017833396483
2351.8530191247646,2350.5,1.3530191247646144
2351.8530191247646,2352.8,-0.9469808752355675
2351.8530191247646,2349.3,2.5530191247644325
2351.668571883193,2289.7,61.96857188319336
2327.472745582102,2340.1,-12.627254417897802
2327.472745582102,2332.7,-5.227254417897711
2327.472745582102,2329.7,-2.2272544178977114
2327.472745582102,2335.6,-8.127254417897802
2327.472745582102,2329.1,-1.6272544178978023
2327.472745582102,2330.2,-2.7272544178977114
2327.472745582102,2326.2,1.2727455821022886
2327.472745582102,2326.3,1.1727455821019248
2298.9962415168534,2311.9,-12.903758483146703
2298.9962415168534,2305.6,-6.603758483146521
2298.9962415168534,2310.3,-11.303758483146794
