iter	RMSE
0	117.6346591
1	116.5941345
2	115.551638
3	114.5041429
4	113.4807719
5	112.4578085
6	111.4635695
7	110.5246162
8	109.5612168
9	108.6005037
10	107.6492881
11	106.7088827
12	105.7738299
13	104.8691445
14	103.9628963
15	103.0788522
16	102.1939412
17	101.2988282
18	100.4438499
19	99.59403314
20	98.77166713
21	97.91502069
22	97.08489676
23	96.28711575
24	95.47832801
25	94.68834943
26	93.89633547
27	93.10400292
28	92.3220998
29	91.58378297
30	90.83036409
31	90.11145408
32	89.38934351
33	88.68154779
34	87.96836088
35	87.25255061
36	86.55412535
37	85.87198063
38	85.1892104
39	84.5037087
40	83.85890948
41	83.18611506
42	82.52995784
43	81.88720649
44	81.23997465
45	80.60001733
46	79.98618316
47	79.38040425
48	78.76675657
49	78.17086972
50	77.60624976
51	77.01347435
52	76.44650209
53	75.86983256
54	75.31576688
55	74.76154067
56	74.22256054
57	73.69232868
58	73.15111391
59	72.60872311
60	72.09578076
61	71.59198135
62	71.08266029
63	70.59230763
64	70.09798756
65	69.61235902
66	69.13072736
67	68.65392126
68	68.18338823
69	67.7410864
70	67.30190547
71	66.87351023
72	66.41932583
73	65.97384626
74	65.54417114
75	65.10590971
76	64.68967535
77	64.26790436
78	63.85454007
79	63.44863653
80	63.03957922
81	62.64781444
82	62.2573717
83	61.88363923
84	61.50257771
85	61.12132454
86	60.7434122
87	60.37219765
88	60.02252364
89	59.66375016
90	59.3243418
91	58.98311774
92	58.63493852
93	58.28785927
94	57.95151348
95	57.62861237
96	57.32532415
97	56.99100619
98	56.68596249
99	56.37113058
100	56.0549974
101	55.76687042
102	55.47489885
103	55.20589856
104	54.92446744
105	54.64381294
106	54.3569477
107	54.08732418
108	53.80071404
109	53.52480774
110	53.25870806
111	53.00179712
112	52.74230576
113	52.47997065
114	52.21555129
115	51.97914495
116	51.72774888
117	51.49169428
118	51.25486883
119	51.00666074
120	50.77084109
121	50.5332091
122	50.31115176
123	50.09188845
124	49.87050458
125	49.664716
126	49.45927991
127	49.24121789
128	49.0340434
129	48.84615939
130	48.64130588
131	48.44758293
132	48.26641741
133	48.06550287
134	47.86170621
135	47.680466
136	47.50426608
137	47.32611131
138	47.14012305
139	46.96499246
140	46.77374058
141	46.58919237
142	46.41602391
143	46.24959988
144	46.08361297
145	45.92133405
146	45.7536783
147	45.59423276
148	45.44700171
149	45.30016618
150	45.14272564
151	44.98567237
152	44.83616222
153	44.68037625
154	44.5342647
155	44.39669876
156	44.25801564
157	44.11637343
158	43.98545063
159	43.85330791
160	43.70239219
161	43.57288243
162	43.43763075
163	43.30940696
164	43.1800212
165	43.04637238
166	42.93204729
167	42.80986075
168	42.69717685
169	42.57773454
170	42.45885334
171	42.34492265
172	42.22962213
173	42.11370095
174	41.98912071
175	41.88154653
176	41.76065373
177	41.6536168
178	41.55679907
179	41.43783589
180	41.33326507
181	41.23977292
182	41.13420839
183	41.01785217
184	40.92528315
185	40.82285596
186	40.72438737
187	40.61789893
188	40.52421887
189	40.41541822
190	40.31842806
191	40.23105782
192	40.15353404
193	40.06691617
194	39.97878268
195	39.89249896
